år;jernbanens_udbygning_i_km;nedlæggelse_af_jernbane_i_km;befolkningstal;befolkningstal_i_københavn;befolkningstal_i_provinsbyer
1834;;;1230964;119000;136000
1840;;;1289075;121000;143000
1850;139,6;;1414648;130000;166000
1860;77;;1608362;163000;214000
1870;645,1;;1784741;198000;245000
1880;1131,4;;1969039;261000;291000
1890;545,4;;2172380;360000;362000
1901;1131,8;;2449540;454000;482000
1911;1187,4;;2757076;559000;555000
1921;1064,8;49,4;3267831;701000;670000
1930;539,1;175,4;3550656;771000;788000
